,pj_alias,status,pj_github_url,corrected_pj_github_url,pj_github_api_url,correct_url_found
0,amaterasu,0,https://github.com/apache/incubator-Amaterasu,https://github.com/apache/incubator-Amaterasu,https://api.github.com/repos/apache/incubator-Amaterasu,TRUE
1,annotator,0,https://github.com/apache/incubator-Annotator,https://github.com/apache/incubator-Annotator,https://api.github.com/repos/apache/incubator-Annotator,TRUE
2,batchee,0,https://github.com/apache/incubator-BatchEE,https://github.com/apache/incubator-BatchEE,https://api.github.com/repos/apache/incubator-BatchEE,TRUE
3,brpc,0,https://github.com/apache/incubator-BRPC,https://github.com/apache/incubator-BRPC,https://api.github.com/repos/apache/incubator-BRPC,TRUE
4,crail,0,https://github.com/apache/incubator-Crail,https://github.com/apache/incubator-Crail,https://api.github.com/repos/apache/incubator-Crail,TRUE
5,daffodil,0,https://github.com/apache/incubator-Daffodil,https://github.com/apache/incubator-Daffodil,https://api.github.com/repos/apache/incubator-Daffodil,TRUE
6,datasketches,0,https://github.com/apache/incubator-DataSketches,https://github.com/apache/incubator-DataSketches,https://api.github.com/repos/apache/incubator-DataSketches,TRUE
7,dlab,0,https://github.com/apache/incubator-DLab,https://github.com/apache/incubator-DLab,https://api.github.com/repos/apache/incubator-DLab,TRUE
8,dolphinscheduler,0,https://github.com/apache/incubator-DolphinScheduler,https://github.com/apache/incubator-DolphinScheduler,https://api.github.com/repos/apache/incubator-DolphinScheduler,TRUE
9,doris,0,https://github.com/apache/incubator-Doris,https://github.com/apache/incubator-Doris,https://api.github.com/repos/apache/incubator-Doris,TRUE
10,druid,0,https://github.com/apache/incubator-Druid,https://github.com/apache/incubator-Druid,https://api.github.com/repos/apache/incubator-Druid,TRUE
11,echarts,0,https://github.com/apache/incubator-ECharts,https://github.com/apache/incubator-ECharts,https://api.github.com/repos/apache/incubator-ECharts,TRUE
12,edgent,0,https://github.com/apache/incubator-Edgent,https://github.com/apache/incubator-Edgent,https://api.github.com/repos/apache/incubator-Edgent,TRUE
13,flagon,0,https://github.com/apache/incubator-Flagon,https://github.com/apache/incubator-Flagon,https://api.github.com/repos/apache/incubator-Flagon,TRUE
14,gobblin,0,https://github.com/apache/incubator-Gobblin,https://github.com/apache/incubator-Gobblin,https://api.github.com/repos/apache/incubator-Gobblin,TRUE
15,heron,0,https://github.com/apache/incubator-Heron,https://github.com/apache/incubator-Heron,https://api.github.com/repos/apache/incubator-Heron,TRUE
