Unnamed: 0,pj_alias,status,pj_github_url,corrected_pj_github_url,pj_github_api_url,correct_url_found,ratio_of_duplicate_prs,total_prs,duplicate_prs
160,metron,1,https://github.com/apache/Metron,https://github.com/apache/Metron,https://api.github.com/repos/apache/Metron,TRUE,,,
161,mnemonic,1,https://github.com/apache/Mnemonic,https://github.com/apache/Mnemonic,https://api.github.com/repos/apache/Mnemonic,TRUE,,,
162,mod_ftp,1,https://github.com/apache/mod_ftp,https://github.com/OutOfOrder/mod_ftpd,https://api.github.com/repos/OutOfOrder/mod_ftpd,TRUE,,,
163,mrunit,1,https://github.com/apache/MRUnit,https://github.com/apache/MRUnit,https://api.github.com/repos/apache/MRUnit,TRUE,,,
165,myfaces,1,https://github.com/apache/MyFaces,https://github.com/apache/MyFaces,https://api.github.com/repos/apache/MyFaces,TRUE,,,
166,mynewt,1,https://github.com/apache/Mynewt,https://github.com/apache/mynewt-core,https://api.github.com/repos/apache/mynewt-core,TRUE,,,
167,netbeans,1,https://github.com/apache/NetBeans,https://github.com/apache/NetBeans,https://api.github.com/repos/apache/NetBeans,TRUE,,,
168,nifi,1,https://github.com/apache/NiFi,https://github.com/apache/NiFi,https://api.github.com/repos/apache/NiFi,TRUE,,,
169,nutch,1,https://github.com/apache/Nutch,https://github.com/apache/Nutch,https://api.github.com/repos/apache/Nutch,TRUE,,,
170,streams,1,https://github.com/apache/Streams,https://github.com/apache/Streams,https://api.github.com/repos/apache/Streams,TRUE,,,
171,nuvem,1,https://github.com/apache/Nuvem,https://github.com/apache/Nuvem,https://api.github.com/repos/apache/Nuvem,TRUE,,,
172,ode,1,https://github.com/apache/Ode,https://github.com/apache/Ode,https://api.github.com/repos/apache/Ode,TRUE,,,
173,ofbiz,1,https://github.com/apache/OFBiz,https://github.com/apache/OFBiz,https://api.github.com/repos/apache/OFBiz,TRUE,,,
174,ognl,1,https://github.com/apache/OGNL,https://github.com/apache/commons-ognl,https://api.github.com/repos/apache/commons-ognl,TRUE,,,
175,olingo,1,https://github.com/apache/Olingo,https://github.com/apache/olingo-odata4,https://api.github.com/repos/apache/olingo-odata4,TRUE,,,
176,onami,1,https://github.com/apache/Onami,https://github.com/apache/Onami,https://api.github.com/repos/apache/Onami,TRUE,,,
177,oodt,1,https://github.com/apache/OODT,https://github.com/apache/OODT,https://api.github.com/repos/apache/OODT,TRUE,,,
178,oozie,1,https://github.com/apache/Oozie,https://github.com/apache/Oozie,https://api.github.com/repos/apache/Oozie,TRUE,,,
179,climate,1,https://github.com/apache/climate,https://github.com/apache/climate,https://api.github.com/repos/apache/climate,TRUE,,,
180,openejb,1,https://github.com/apache/OpenEJB,https://github.com/apache/OpenEJB,https://api.github.com/repos/apache/OpenEJB,TRUE,,,
181,openjpa,1,https://github.com/apache/OpenJPA,https://github.com/apache/OpenJPA,https://api.github.com/repos/apache/OpenJPA,TRUE,,,
182,openmeetings,1,https://github.com/apache/Openmeetings,https://github.com/apache/Openmeetings,https://api.github.com/repos/apache/Openmeetings,TRUE,,,
183,opennlp,1,https://github.com/apache/OpenNLP,https://github.com/apache/OpenNLP,https://api.github.com/repos/apache/OpenNLP,TRUE,,,
184,openoffice,1,https://github.com/apache/OpenOffice.org,https://github.com/apache/openoffice,https://api.github.com/repos/apache/openoffice,TRUE,,,
185,openwebbeans,1,https://github.com/apache/OpenWebBeans,https://github.com/apache/OpenWebBeans,https://api.github.com/repos/apache/OpenWebBeans,TRUE,,,
186,openwhisk,1,https://github.com/apache/OpenWhisk,https://github.com/apache/OpenWhisk,https://api.github.com/repos/apache/OpenWhisk,TRUE,,,
187,parquet,1,https://github.com/apache/Parquet,https://github.com/apache/parquet-mr,https://api.github.com/repos/apache/parquet-mr,TRUE,,,
188,pdfbox,1,https://github.com/apache/PDFBox,https://github.com/apache/PDFBox,https://api.github.com/repos/apache/PDFBox,TRUE,,,
189,phoenix,1,https://github.com/apache/Phoenix,https://github.com/apache/Phoenix,https://api.github.com/repos/apache/Phoenix,TRUE,,,
190,pig,1,https://github.com/apache/Pig,https://github.com/apache/Pig,https://api.github.com/repos/apache/Pig,TRUE,,,
191,pivot,1,https://github.com/apache/Pivot,https://github.com/apache/Pivot,https://api.github.com/repos/apache/Pivot,TRUE,,,
192,plc4x,1,https://github.com/apache/PLC4X,https://github.com/apache/PLC4X,https://api.github.com/repos/apache/PLC4X,TRUE,,,
193,pluto,1,https://github.com/apache/Pluto,https://github.com/apache/Pluto,https://api.github.com/repos/apache/Pluto,TRUE,,,
194,predictionio,1,https://github.com/apache/PredictionIO,https://github.com/apache/PredictionIO,https://api.github.com/repos/apache/PredictionIO,TRUE,,,
195,pulsar,1,https://github.com/apache/Pulsar,https://github.com/apache/Pulsar,https://api.github.com/repos/apache/Pulsar,TRUE,,,
196,qpid,1,https://github.com/apache/Qpid,https://github.com/apache/Qpid,https://api.github.com/repos/apache/Qpid,TRUE,,,
197,wookie,1,https://github.com/apache/Wookie,https://github.com/apache/Wookie,https://api.github.com/repos/apache/Wookie,TRUE,,,
198,ranger,1,https://github.com/apache/Ranger,https://github.com/apache/Ranger,https://api.github.com/repos/apache/Ranger,TRUE,,,
199,rat,1,https://github.com/apache/RAT,https://github.com/apache/creadur-rat,https://api.github.com/repos/apache/creadur-rat,TRUE,,,
200,rave,1,https://github.com/apache/Rave,https://github.com/apache/Rave,https://api.github.com/repos/apache/Rave,TRUE,,,
201,reef,1,https://github.com/apache/REEF,https://github.com/apache/REEF,https://api.github.com/repos/apache/REEF,TRUE,,,
202,river,1,https://github.com/apache/River,https://github.com/apache/river-container,https://api.github.com/repos/apache/river-container,TRUE,,,
203,rocketmq,1,https://github.com/apache/RocketMQ,https://github.com/apache/RocketMQ,https://api.github.com/repos/apache/RocketMQ,TRUE,,,
204,roller,1,https://github.com/apache/Roller,https://github.com/apache/Roller,https://api.github.com/repos/apache/Roller,TRUE,,,
205,samza,1,https://github.com/apache/Samza,https://github.com/apache/Samza,https://api.github.com/repos/apache/Samza,TRUE,,,
206,sanselan,1,https://github.com/apache/Sanselan,https://github.com/apache/Sanselan,https://api.github.com/repos/apache/Sanselan,TRUE,,,
207,sentry,1,https://github.com/apache/Sentry,https://github.com/apache/Sentry,https://api.github.com/repos/apache/Sentry,TRUE,,,
208,servicecomb,1,https://github.com/apache/ServiceComb,https://github.com/apache/servicecomb-java-chassis,https://api.github.com/repos/apache/servicecomb-java-chassis,TRUE,,,
209,servicemix,1,https://github.com/apache/ServiceMix,https://github.com/apache/ServiceMix,https://api.github.com/repos/apache/ServiceMix,TRUE,,,
210,shindig,1,https://github.com/apache/Shindig,https://github.com/apache/Shindig,https://api.github.com/repos/apache/Shindig,TRUE,,,
211,shiro,1,https://github.com/apache/Shiro,https://github.com/apache/Shiro,https://api.github.com/repos/apache/Shiro,TRUE,,,
212,sis,1,https://github.com/apache/SIS,https://github.com/apache/SIS,https://api.github.com/repos/apache/SIS,TRUE,,,
213,skywalking,1,https://github.com/apache/SkyWalking,https://github.com/apache/SkyWalking,https://api.github.com/repos/apache/SkyWalking,TRUE,,,
214,sling,1,https://github.com/apache/Sling,https://github.com/apache/Sling,https://api.github.com/repos/apache/Sling,TRUE,,,
215,solr,1,https://github.com/apache/Solr,https://github.com/apache/Solr,https://api.github.com/repos/apache/Solr,TRUE,,,
216,spamassassin,1,https://github.com/apache/SpamAssassin,https://github.com/apache/SpamAssassin,https://api.github.com/repos/apache/SpamAssassin,TRUE,,,
217,spark,1,https://github.com/apache/Spark,https://github.com/apache/Spark,https://api.github.com/repos/apache/Spark,TRUE,,,
218,sqoop,1,https://github.com/apache/Sqoop,https://github.com/apache/Sqoop,https://api.github.com/repos/apache/Sqoop,TRUE,,,
219,stanbol,1,https://github.com/apache/Stanbol,https://github.com/apache/Stanbol,https://api.github.com/repos/apache/Stanbol,TRUE,,,
220,stdcxx,1,https://github.com/apache/stdcxx,https://github.com/apache/stdcxx,https://api.github.com/repos/apache/stdcxx,TRUE,,,
221,storm,1,https://github.com/apache/Storm,https://github.com/apache/Storm,https://api.github.com/repos/apache/Storm,TRUE,,,
222,stratos,1,https://github.com/apache/Stratos,https://github.com/apache/Stratos,https://api.github.com/repos/apache/Stratos,TRUE,,,
223,subversion,1,https://github.com/apache/Subversion,https://github.com/apache/Subversion,https://api.github.com/repos/apache/Subversion,TRUE,,,
224,synapse,1,https://github.com/apache/Synapse,https://github.com/apache/Synapse,https://api.github.com/repos/apache/Synapse,TRUE,,,
225,syncope,1,https://github.com/apache/Syncope,https://github.com/apache/Syncope,https://api.github.com/repos/apache/Syncope,TRUE,,,
226,systemml,1,https://github.com/apache/SystemML,https://github.com/apache/SystemML,https://api.github.com/repos/apache/SystemML,TRUE,,,
227,tajo,1,https://github.com/apache/Tajo,https://github.com/apache/Tajo,https://api.github.com/repos/apache/Tajo,TRUE,,,
228,tapestry,1,https://github.com/apache/Tapestry,https://github.com/apache/tapestry-5,https://api.github.com/repos/apache/tapestry-5,TRUE,,,
229,tez,1,https://github.com/apache/Tez,https://github.com/apache/Tez,https://api.github.com/repos/apache/Tez,TRUE,,,
230,thrift,1,https://github.com/apache/Thrift,https://github.com/apache/Thrift,https://api.github.com/repos/apache/Thrift,TRUE,,,
231,tika,1,https://github.com/apache/Tika,https://github.com/apache/Tika,https://api.github.com/repos/apache/Tika,TRUE,,,
232,tinkerpop,1,https://github.com/apache/TinkerPop,https://github.com/apache/TinkerPop,https://api.github.com/repos/apache/TinkerPop,TRUE,,,
233,tobago,1,https://github.com/apache/Tobago,https://github.com/apache/myfaces-tobago,https://api.github.com/repos/apache/myfaces-tobago,TRUE,,,
