,pj_alias,status,pj_github_url,corrected_pj_github_url,pj_github_api_url,correct_url_found,has_hard_fork,ratio_of_duplicate_prs,total_pull_requests,duplicate_prs,total_forks
0,amaterasu,0,https://github.com/apache/incubator-Amaterasu,https://github.com/apache/incubator-Amaterasu,https://api.github.com/repos/apache/incubator-retired-amaterasu,TRUE,FALSE,0,4,0,25
1,annotator,0,https://github.com/apache/incubator-Annotator,https://github.com/apache/incubator-Annotator,https://api.github.com/repos/apache/incubator-Annotator,TRUE,FALSE,0,2,0,37
2,batchee,0,https://github.com/apache/incubator-BatchEE,https://github.com/apache/incubator-BatchEE,https://api.github.com/repos/apache/incubator-BatchEE,TRUE,FALSE,0,6,0,18
3,brpc,0,https://github.com/apache/incubator-BRPC,https://github.com/apache/incubator-BRPC,https://api.github.com/repos/apache/incubator-BRPC,TRUE,FALSE,0,72,0,100
4,crail,0,https://github.com/apache/incubator-Crail,https://github.com/apache/incubator-Crail,https://api.github.com/repos/apache/incubator-Crail,TRUE,FALSE,0,2,0,43
5,daffodil,0,https://github.com/apache/incubator-Daffodil,https://github.com/apache/incubator-Daffodil,https://api.github.com/repos/apache/incubator-Daffodil,TRUE,FALSE,0,14,0,52
6,datasketches,0,https://github.com/apache/incubator-DataSketches,https://github.com/apache/incubator-DataSketches,https://api.github.com/repos/apache/incubator-DataSketches,TRUE,FALSE,0,0,0,6
7,dlab,0,https://github.com/apache/incubator-DLab,https://github.com/apache/incubator-DLab,https://api.github.com/repos/apache/incubator-DLab,TRUE,FALSE,0,9,0,41
8,dolphinscheduler,0,https://github.com/apache/incubator-DolphinScheduler,https://github.com/apache/incubator-DolphinScheduler,https://api.github.com/repos/apache/incubator-DolphinScheduler,TRUE,FALSE,0,69,0,100
9,doris,0,https://github.com/apache/incubator-Doris,https://github.com/apache/incubator-Doris,https://api.github.com/repos/apache/incubator-Doris,TRUE,FALSE,0.15,100,15,100
10,druid,0,https://github.com/apache/incubator-Druid,https://github.com/apache/incubator-Druid,https://api.github.com/repos/apache/incubator-Druid,TRUE,FALSE,0.03,100,3,100
11,echarts,0,https://github.com/apache/incubator-ECharts,https://github.com/apache/incubator-ECharts,https://api.github.com/repos/apache/incubator-ECharts,TRUE,FALSE,0.074626866,67,5,100
12,edgent,0,https://github.com/apache/incubator-Edgent,https://github.com/apache/incubator-Edgent,https://api.github.com/repos/apache/incubator-Edgent,TRUE,FALSE,0,5,0,100
13,flagon,0,https://github.com/apache/incubator-Flagon,https://github.com/apache/incubator-Flagon,https://api.github.com/repos/apache/incubator-Flagon,TRUE,FALSE,0,1,0,11
14,gobblin,0,https://github.com/apache/incubator-Gobblin,https://github.com/apache/incubator-Gobblin,https://api.github.com/repos/apache/incubator-Gobblin,TRUE,FALSE,0.164948454,97,16,100
15,heron,0,https://github.com/apache/incubator-Heron,https://github.com/apache/incubator-Heron,https://api.github.com/repos/apache/incubator-Heron,TRUE,FALSE,0.024390244,41,1,100
16,hivemall,0,https://github.com/apache/incubator-Hivemall,https://github.com/apache/incubator-Hivemall,https://api.github.com/repos/apache/incubator-Hivemall,TRUE,FALSE,0,7,0,100
17,hudi,0,https://github.com/apache/incubator-Hudi,https://github.com/apache/incubator-Hudi,https://api.github.com/repos/apache/incubator-Hudi,TRUE,FALSE,0.26,100,26,100
18,iceberg,0,https://github.com/apache/incubator-Iceberg,https://github.com/apache/incubator-Iceberg,https://api.github.com/repos/apache/incubator-Iceberg,TRUE,FALSE,0.05,100,5,100
19,iotdb,0,https://github.com/apache/incubator-IoTDB,https://github.com/apache/incubator-IoTDB,https://api.github.com/repos/apache/incubator-IoTDB,TRUE,FALSE,0.173913043,46,8,100
