,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1, ,pj_alias,status,pj_github_url,corrected_pj_github_url,correct_url_found,frequency,dimensionality,prs_found
0,0,0,0,0,0,0,0,0,0,0,0,0,0,amaterasu,0,https://github.com/apache/incubator-Amaterasu,https://github.com/apache/incubator-retired-amaterasu,True,2.5833333333333335,20.10632151,True
1,1,1,1,1,1,1,1,1,1,1,1,1,1,annotator,0,https://github.com/apache/incubator-Annotator,https://github.com/apache/incubator-Annotator,True,1.0188679245283019,54.38602849,True
2,2,2,2,2,2,2,2,2,2,2,2,2,2,batchee,0,https://github.com/apache/incubator-BatchEE,https://github.com/apache/incubator-BatchEE,True,0.13636363636363635,32.74145821,True
3,3,3,3,3,3,3,3,3,3,3,3,3,3,brpc,0,https://github.com/apache/incubator-BRPC,https://github.com/apache/incubator-BRPC,True,9.612244897959183,27.89961977,True
4,4,4,4,4,4,4,4,4,4,4,4,4,4,crail,0,https://github.com/apache/incubator-Crail,https://github.com/apache/incubator-Crail,True,2.175,23.8111416,True
5,5,5,5,5,5,5,5,5,5,5,5,5,5,daffodil,0,https://github.com/apache/incubator-Daffodil,https://github.com/apache/incubator-Daffodil,True,14.166666666666666,411.8824727,True
6,6,6,6,6,6,6,6,6,6,6,6,6,6,datasketches,0,https://github.com/apache/incubator-DataSketches,https://github.com/apache/incubator-DataSketches,True,0.0,27.6819416,False
7,7,7,7,7,7,7,7,7,7,7,7,7,7,dlab,0,https://github.com/apache/incubator-DLab,https://github.com/apache/incubator-DLab,True,39.21212121212121,21.65569961,True
8,8,8,8,8,8,8,8,8,8,8,8,8,8,dolphinscheduler,0,https://github.com/apache/incubator-DolphinScheduler,https://github.com/apache/incubator-DolphinScheduler,True,0.0,29.1436467,False
9,9,9,9,9,9,9,9,9,9,9,9,9,9,doris,0,https://github.com/apache/incubator-Doris,https://github.com/apache/incubator-Doris,True,0.0,30.30561561,False
10,10,10,10,10,10,10,10,10,10,10,10,10,10,druid,0,https://github.com/apache/incubator-Druid,https://github.com/apache/incubator-Druid,True,0.0,31.69093921,False
11,11,11,11,11,11,11,11,11,11,11,11,11,11,echarts,0,https://github.com/apache/incubator-ECharts,https://github.com/apache/incubator-ECharts,True,0.0,108.8653103,False
12,12,12,12,12,12,12,12,12,12,12,12,12,12,edgent,0,https://github.com/apache/incubator-Edgent,https://github.com/apache/incubator-Edgent,True,0.0,34.54154537,False
13,13,13,13,13,13,13,13,13,13,13,13,13,13,flagon,0,https://github.com/apache/incubator-Flagon,https://github.com/apache/incubator-Flagon,True,0.0,35.54430141,False
14,14,14,14,14,14,14,14,14,14,14,14,14,14,gobblin,0,https://github.com/apache/incubator-Gobblin,https://github.com/apache/incubator-Gobblin,True,0.0,28.70793492,False
15,15,15,15,15,15,15,15,15,15,15,15,15,15,heron,0,https://github.com/apache/incubator-Heron,https://github.com/apache/incubator-Heron,True,0.0,31.10404061,False
16,16,16,16,16,16,16,16,16,16,16,16,16,16,hivemall,0,https://github.com/apache/incubator-Hivemall,https://github.com/apache/incubator-Hivemall,True,0.0,43.62624559,False
17,17,17,17,17,17,17,17,17,17,17,17,17,17,hudi,0,https://github.com/apache/incubator-Hudi,https://github.com/apache/incubator-Hudi,True,0.0,33.21170401,False
18,18,18,18,18,18,18,18,18,18,18,18,18,18,iceberg,0,https://github.com/apache/incubator-Iceberg,https://github.com/apache/incubator-Iceberg,True,0.0,44.60871908,False
19,19,19,19,19,19,19,19,19,19,19,19,19,19,iotdb,0,https://github.com/apache/incubator-IoTDB,https://github.com/apache/incubator-IoTDB,True,0.0,43.75942807,False
20,20,20,20,20,20,20,20,20,20,20,20,20,20,livy,0,https://github.com/apache/incubator-Livy,https://github.com/apache/incubator-Livy,True,0.0,25.81226327,False
21,21,21,21,21,21,21,21,21,21,21,21,21,21,marvin,0,https://github.com/apache/incubator-Marvin-AI,https://github.com/apache/incubator-marvin,True,0.0,24.91767355,False
22,22,22,22,22,22,22,22,22,22,22,22,22,22,milagro,0,https://github.com/apache/incubator-Milagro,https://github.com/apache/incubator-Milagro,True,0.0,33.5515994,False
23,23,23,23,23,23,23,23,23,23,23,23,23,23,mxnet,0,https://github.com/apache/incubator-MXNet,https://github.com/apache/incubator-MXNet,True,0.0,35.81502685,False
24,24,24,24,24,24,24,24,24,24,24,24,24,24,myriad,0,https://github.com/apache/incubator-Myriad,https://github.com/apache/incubator-Myriad,True,0.0,48.37305204,False
25,25,25,25,25,25,25,25,25,25,25,25,25,25,nemo,0,https://github.com/apache/incubator-Nemo,https://github.com/apache/incubator-Nemo,True,0.0,30.19133104,False
26,26,26,26,26,26,26,26,26,26,26,26,26,26,omid,0,https://github.com/apache/incubator-Omid,https://github.com/apache/incubator-Omid,True,0.0,33.72282204,False
27,27,27,27,27,27,27,27,27,27,27,27,27,27,pagespeed,0,https://github.com/apache/incubator-PageSpeed,https://github.com/apache/incubator-pagespeed-ngx,True,0.0,24.27151444,False
28,28,28,28,28,28,28,28,28,28,28,28,28,28,pinot,0,https://github.com/apache/incubator-Pinot,https://github.com/apache/incubator-Pinot,True,0.0,43.93002394,False
29,29,29,29,29,29,29,29,29,29,29,29,29,29,ponymail,0,https://github.com/apache/incubator-PonyMail,https://github.com/apache/incubator-PonyMail,True,0.0,21.55542258,False
30,30,30,30,30,30,30,30,30,30,30,30,30,30,ratis,0,https://github.com/apache/incubator-Ratis,https://github.com/apache/incubator-Ratis,True,0.0,26.13674169,False
31,31,31,31,31,31,31,31,31,31,31,31,31,31,rya,0,https://github.com/apache/incubator-Rya,https://github.com/apache/incubator-Rya,True,0.0,75.2455857,False
32,32,32,32,32,32,32,32,32,32,32,32,32,32,s2graph,0,https://github.com/apache/incubator-S2Graph,https://github.com/apache/incubator-S2Graph,True,0.0,54.39683841,False
33,33,33,33,33,33,33,33,33,33,33,33,33,33,samoa,0,https://github.com/apache/incubator-SAMOA,https://github.com/apache/incubator-SAMOA,True,0.0,44.77275798,False
34,34,34,34,34,34,34,34,34,34,34,34,34,34,sdap,0,https://github.com/apache/incubator-SDAP,https://github.com/apache/incubator-sdap-nexus,True,0.0,47.40095485,False
35,35,35,35,35,35,35,35,35,35,35,35,35,35,shardingsphere,0,https://github.com/apache/incubator-ShardingSphere,https://github.com/apache/incubator-ShardingSphere,True,0.0,23.22532469,False
36,36,36,36,36,36,36,36,36,36,36,36,36,36,singa,0,https://github.com/apache/incubator-SINGA,https://github.com/apache/incubator-SINGA,True,0.0,77.65334026,False
37,37,37,37,37,37,37,37,37,37,37,37,37,37,spot,0,https://github.com/apache/incubator-Spot,https://github.com/apache/incubator-Spot,True,0.0,760.9789678,False
38,38,38,38,38,38,38,38,38,38,38,38,38,38,superset,0,https://github.com/apache/incubator-Superset,https://github.com/apache/incubator-Superset,True,0.0,280.0010621,False
39,39,39,39,39,39,39,39,39,39,39,39,39,39,tamaya,0,https://github.com/apache/incubator-Tamaya,https://github.com/apache/incubator-Tamaya,True,0.0,28.9916988,False
40,40,40,40,40,40,40,40,40,40,40,40,40,40,taverna,0,https://github.com/apache/incubator-Taverna,https://github.com/apache/incubator-taverna-workbench,True,0.0,30.09635198,False
41,41,41,41,41,41,41,41,41,41,41,41,41,41,tephra,0,https://github.com/apache/incubator-Tephra,https://github.com/apache/incubator-Tephra,True,0.0,39.72642444,False
42,42,42,42,42,42,42,42,42,42,42,42,42,42,toree,0,https://github.com/apache/incubator-Toree,https://github.com/apache/incubator-Toree,True,0.0,24.08374965,False
43,43,43,43,43,43,43,43,43,43,43,43,43,43,training,0,https://github.com/apache/incubator-Training,https://github.com/apache/incubator-Training,True,0.0,51.32264082,False
44,44,44,44,44,44,44,44,44,44,44,44,44,44,tuweni,0,https://github.com/apache/incubator-Tuweni,https://github.com/apache/incubator-Tuweni,True,0.0,40.62048336,False
45,45,45,45,45,45,45,45,45,45,45,45,45,45,bloodhound,1,https://github.com/apache/Bloodhound,https://github.com/apache/Bloodhound,True,0.0,42.65438739,False
46,46,46,46,46,46,46,46,46,46,46,46,46,46,tvm,0,https://github.com/apache/incubator-TVM,https://github.com/apache/incubator-TVM,True,0.0,33.65691939,False
47,47,47,47,47,47,47,47,47,47,47,47,47,47,warble,0,https://github.com/apache/incubator-Warble,https://github.com/apache/incubator-warble-server,True,0.0,44.87573758,False
48,48,48,48,48,48,48,48,48,48,48,48,48,48,weex,0,https://github.com/apache/incubator-Weex,https://github.com/apache/incubator-Weex,True,0.0,79.26750523,False
49,49,49,49,49,49,49,49,49,49,49,49,49,49,abdera,1,https://github.com/apache/Abdera,https://github.com/apache/Abdera,True,0.0,36.74569032,False
50,50,50,50,50,50,50,50,50,50,50,50,50,50,accumulo,1,https://github.com/apache/Accumulo,https://github.com/apache/Accumulo,True,0.0,35.46878943,False
51,51,51,51,51,51,51,51,51,51,51,51,51,51,ace,1,https://github.com/apache/ACE,https://github.com/apache/ACE,True,0.0,58.06331362,False
52,52,52,52,52,52,52,52,52,52,52,52,52,52,activemq,1,https://github.com/apache/ActiveMQ,https://github.com/apache/ActiveMQ,True,0.0,33.85033923,False
53,53,53,53,53,53,53,53,53,53,53,53,53,53,airavata,1,https://github.com/apache/Airavata,https://github.com/apache/Airavata,True,0.0,96.10721135,False
54,54,54,54,54,54,54,54,54,54,54,54,54,54,airflow,1,https://github.com/apache/Airflow,https://github.com/apache/Airflow,True,0.0,25.8163947,False
55,55,55,55,55,55,55,55,55,55,55,55,55,55,allura,1,https://github.com/apache/Allura,https://github.com/apache/Allura,True,0.0,21.36812593,False
56,56,56,56,56,56,56,56,56,56,56,56,56,56,ambari,1,https://github.com/apache/Ambari,https://github.com/apache/Ambari,True,0.0,49.68697387,False
57,57,57,57,57,57,57,57,57,57,57,57,57,57,oltu,1,https://github.com/apache/Amber,https://github.com/amberframework/amber,True,0.0,13.33268195,False
58,58,58,58,58,58,58,58,58,58,58,58,58,58,any23,1,https://github.com/apache/Any23,https://github.com/apache/Any23,True,0.0,41.40403554,False
59,59,59,59,59,59,59,59,59,59,59,59,59,59,apex,1,https://github.com/apache/Apex,https://github.com/apache/apex-core,True,0.0,29.17123972,False
60,60,60,60,60,60,60,60,60,60,60,60,60,60,apollo,1,https://github.com/apache/Apollo,https://github.com/apache/activemq-apollo,True,0.0,40.17801954,False
61,61,61,61,61,61,61,61,61,61,61,61,61,61,aries,1,https://github.com/apache/Aries,https://github.com/apache/Aries,True,0.0,28.47078404,False
62,62,62,62,62,62,62,62,62,62,62,62,62,62,asterixdb,1,https://github.com/apache/AsterixDB,https://github.com/apache/AsterixDB,True,0.0,126.6529757,False
