Unnamed: 0,pj_alias,status,pj_github_url,corrected_pj_github_url,correct_url_found,prs_found,frequency,dimensionality,ratio_of_duplicate_prs,total_prs(not a mteric),duplicate_prs(not a metric),cntr_management,additive_contribution_index
0,amaterasu,0,https://github.com/apache/incubator-Amaterasu,https://github.com/apache/incubator-retired-amaterasu,True,True,2.583333333,20.10632151,0.0,4.0,0.0,0.01612903226,0.066088195
1,annotator,0,https://github.com/apache/incubator-Annotator,https://github.com/apache/incubator-Annotator,True,True,1.018867925,54.38602849,0.0,2.0,0.0,0.3703703704,0.06922536376
2,batchee,0,https://github.com/apache/incubator-BatchEE,https://github.com/apache/incubator-BatchEE,True,True,0.1363636364,32.74145821,0.0,6.0,0.0,0.2222222222,0.1443252166
3,brpc,0,https://github.com/apache/incubator-BRPC,https://github.com/apache/incubator-BRPC,True,True,9.612244898,27.89961977,0.0,75.0,0.0,0.09894736842,0.04806761598
4,crail,0,https://github.com/apache/incubator-Crail,https://github.com/apache/incubator-Crail,True,True,2.175,23.8111416,0.0,2.0,0.0,0.03448275862,0.05699424611
5,daffodil,0,https://github.com/apache/incubator-Daffodil,https://github.com/apache/incubator-Daffodil,True,True,14.16666667,411.8824727,0.0,10.0,0.0,0.02923976608,0.09189120848
6,datasketches,0,https://github.com/apache/incubator-DataSketches,https://github.com/apache/incubator-DataSketches,True,False,0.0,27.6819416,0.0,0.0,0.0,0.0,0.1110691149
7,dlab,0,https://github.com/apache/incubator-DLab,https://github.com/apache/incubator-DLab,True,True,39.21212121,21.65569961,0.0,9.0,0.0,0.003051106026,0.03121724419
8,dolphinscheduler,0,https://github.com/apache/incubator-DolphinScheduler,https://github.com/apache/incubator-DolphinScheduler,True,True,116.3870968,29.1436467,0.0,73.0,0.0,0.3131778742,0.0469340802
9,doris,0,https://github.com/apache/incubator-Doris,https://github.com/apache/incubator-Doris,True,True,84.0,30.30561561,0.145455,110.0,16.0,0.4615926709,0.06666958571
10,druid,0,https://github.com/apache/incubator-Druid,https://github.com/apache/incubator-Druid,True,True,72.0,31.69093921,0.069767,172.0,12.0,0.2922044399,0.05394162744
11,echarts,0,https://github.com/apache/incubator-ECharts,https://github.com/apache/incubator-ECharts,True,True,12.3,108.8653103,0.078125,64.0,5.0,0.4423701299,0.05229556826
12,edgent,0,https://github.com/apache/incubator-Edgent,https://github.com/apache/incubator-Edgent,True,True,8.162790698,34.54154537,0.0,5.0,0.0,0.01709401709,0.0742486675
13,flagon,0,https://github.com/apache/incubator-Flagon,https://github.com/apache/incubator-Flagon,True,True,0.1794871795,35.54430141,0.0,1.0,0.0,0.1428571429,0.202983769
