listid,listname,pj_alias,status,start_date,end_date,dev_is_available,commit_is_available,is_in_attic,sponsor,intro,istoplv,start_from_scratch,pj_url,pj_github_url
1,Amaterasu,amaterasu,0,9/7/2017,,t,t,f,"Incubator
		
		(Jean-Baptiste Onofré)
		 
	   ",Apache Amaterasu is a framework providing continuous deployment for Big Data pipelines.,,,http://incubator.apache.org/projects/amaterasu.html,https://github.com/apache/incubator-Amaterasu
2,Annotator,annotator,0,8/30/2016,,t,t,f,"Incubator
		
		(Daniel Gruno)
		 
	   ","Annotator provides annotation enabling code for browsers, servers, and humans.",,,http://incubator.apache.org/projects/annotator.html,https://github.com/apache/incubator-Annotator
3,BatchEE,batchee,0,10/3/2013,,t,t,f,"Incubator
		
		(FIXME)
		 
	   ","
            BatchEE projects aims to provide a JBatch implementation (aka JSR352)
            and a set of useful extensions for this specification.
        ",,,http://incubator.apache.org/projects/batchee.html,https://github.com/apache/incubator-BatchEE
4,BRPC,brpc,0,11/13/2018,,t,f,f,"Incubator
		 
	   ",brpc is an industrial-grade RPC framework for building reliable and high-performance services.,,,http://incubator.apache.org/projects/brpc.html,https://github.com/apache/incubator-BRPC
5,Crail,crail,0,11/1/2017,,t,t,f,"Incubator
		
		(Luciano Resende)
		 
	   ",Crail is a storage platform for sharing performance critical data in distributed data processing jobs at very high speed.,,,http://incubator.apache.org/projects/crail.html,https://github.com/apache/incubator-Crail
6,Daffodil,daffodil,0,8/27/2017,,t,t,f,"Incubator
		
		(John D. Ament)
		 
	   ",Apache Daffodil is an implementation of the Data Format Description Language (DFDL) used to convert between fixed format data and XML/JSON.,,,http://incubator.apache.org/projects/daffodil.html,https://github.com/apache/incubator-Daffodil
7,DataSketches,datasketches,0,3/30/2019,,t,t,f,"Incubator
		
		(Jean-Baptiste Onofré)
		 
	   ","DataSketches is an open source, high-performance library of stochastic streaming algorithms commonly called ""sketches"" in the data sciences. Sketches are small, stateful programs that process massive data as a stream and can provide approximate answers, with mathematical guarantees, to computationally difficult queries orders-of-magnitude faster than traditional, exact methods.",,,http://incubator.apache.org/projects/datasketches.html,https://github.com/apache/incubator-DataSketches
8,DLab,dlab,0,8/20/2018,,t,t,f,"Incubator
		
		(P. Taylor Goetz)
		 
	   ","DLab is a platform for creating self-service, exploratory data science environments in the cloud using best-of-breed data science tools.",,,http://incubator.apache.org/projects/dlab.html,https://github.com/apache/incubator-DLab
9,DolphinScheduler,dolphinscheduler,0,8/29/2019,,f,f,f,"Incubator
		
		(Sheng Wu)
		 
	   ",olphinScheduler is a distributed ETL scheduling engine with powerful DAG visualization interface..,,,http://incubator.apache.org/projects/dolphinscheduler.html,https://github.com/apache/incubator-DolphinScheduler
10,Doris,doris,0,7/18/2018,,t,t,f,"Incubator
		
		(Dave Fisher)
		 
	   ",Doris is a MPP-based interactive SQL data warehousing for reporting and analysis.,,,http://incubator.apache.org/projects/doris.html,https://github.com/apache/incubator-Doris
