,pj_alias,status,pj_github_url,corrected_pj_github_url,correct_url_found,prs_found,frequency,dimensionality,ratio_of_duplicate_prs,total_prs(not a mteric),duplicate_prs(not a metric),cntr_management,additive_contribution_index,logic_coupling_index,has_hard_fork,total_forks (not a metric),total_hard_forks (not a metric),pre_communication
0,amaterasu,0,https://github.com/apache/incubator-Amaterasu,https://github.com/apache/incubator-retired-amaterasu,TRUE,TRUE,2.583333333,20.10632151,0,58,0,0.01612903226,0.066088195,0.004108801351,TRUE,26,2,0.1129032258
1,annotator,0,https://github.com/apache/incubator-Annotator,https://github.com/apache/incubator-Annotator,TRUE,TRUE,1.018867925,54.38602849,0,52,0,0.3703703704,0.06922536376,0.02124516944,FALSE,37,0,0.2222222222
2,batchee,0,https://github.com/apache/incubator-BatchEE,https://github.com/apache/incubator-BatchEE,TRUE,TRUE,0.1363636364,32.74145821,0,3,0,0.2222222222,0.1443252166,0.0009451700702,FALSE,18,0,0
3,brpc,0,https://github.com/apache/incubator-BRPC,https://github.com/apache/incubator-BRPC,TRUE,TRUE,9.612244898,27.89961977,0,403,0,0.09894736842,0.04806761598,0.003178360101,TRUE,3096,18,0.04
4,crail,0,https://github.com/apache/incubator-Crail,https://github.com/apache/incubator-Crail,TRUE,TRUE,2.175,23.8111416,0,85,0,0.03448275862,0.05699424611,0.007844732394,FALSE,43,0,0.01149425287
5,daffodil,0,https://github.com/apache/incubator-Daffodil,https://github.com/apache/incubator-Daffodil,TRUE,TRUE,14.16666667,411.8824727,0.00294551,679,2,0.02923976608,0.09189120848,0.002298318964,TRUE,52,1,0.02
6,datasketches,0,https://github.com/apache/incubator-DataSketches,https://github.com/apache/incubator-DataSketches,TRUE,FALSE,0,27.6819416,0,0,0,0,0.1110691149,0.02780961004,FALSE,7,0,0
7,dlab,0,https://github.com/apache/incubator-DLab,https://github.com/apache/incubator-DLab,TRUE,TRUE,39.21212121,21.65569961,0,1319,0,0.003051106026,0.03121724419,0.001886145405,TRUE,41,3,0
8,dolphinscheduler,0,https://github.com/apache/incubator-DolphinScheduler,https://github.com/apache/incubator-DolphinScheduler,TRUE,TRUE,116.3870968,29.1436467,0.00027293,3664,1,0.3131778742,0.0469340802,0.0008412336471,TRUE,2433,40,0.01
9,doris,0,https://github.com/apache/incubator-Doris,https://github.com/apache/incubator-Doris,TRUE,TRUE,84,30.30561561,0,4182,0,0.4615926709,0.06666958571,0.002148893313,TRUE,1030,10,0.05
10,druid,0,https://github.com/apache/incubator-Druid,https://github.com/apache/incubator-Druid,TRUE,TRUE,72,31.69093921,0.0005,7626,,0.2922044399,0.05394162744,0.00127793354,TRUE,2971,19,0
11,echarts,0,https://github.com/apache/incubator-ECharts,https://github.com/apache/incubator-ECharts,TRUE,TRUE,12.3,108.8653103,0,1178,0,0.4423701299,0.05229556826,0.002397149336,TRUE,17772,4,0.1
12,edgent,0,https://github.com/apache/incubator-Edgent,https://github.com/apache/incubator-Edgent,TRUE,TRUE,8.162790698,34.54154537,0,346,0,0.01709401709,0.0742486675,0.003424494649,TRUE,141,2,0.01
13,flagon,0,https://github.com/apache/incubator-Flagon,https://github.com/apache/incubator-Flagon,TRUE,TRUE,0.1794871795,35.54430141,0,6,0,0.1428571429,0.202983769,0.003824074892,FALSE,11,0,0
14,gobblin,0,https://github.com/apache/incubator-Gobblin,https://github.com/apache/incubator-Gobblin,TRUE,TRUE,38.9625,28.70793492,0.00164853,3033,5,0.03007037748,0.09055103949,0.001807713469,TRUE,680,13,0.01
15,heron,0,https://github.com/apache/incubator-Heron,https://github.com/apache/incubator-Heron,TRUE,TRUE,38.1,31.10404061,0.00113723,2638,3,0.1494768311,0.08497518288,0.002904224807,TRUE,615,9,0.42
16,hivemall,0,https://github.com/apache/incubator-Hivemall,https://github.com/apache/incubator-Hivemall,TRUE,TRUE,4.518518519,43.62624559,0,238,0,0.0737704918,0.1002221351,0.0007751226935,FALSE,113,0,0.01
